id,analysis_scope,user_id,intent,tag_technique,question,sql_query,rationale
11,global,,Analyse des causes d’un faible score,causal_analysis,Pourquoi la compétence « Choisir ses mots et ses expressions » affiche-t-elle un score moyen modéré ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Choisir ses mots et ses expressions';,"Le score modéré s’explique par une compréhension partielle des notions lexicales et un entraînement insuffisant. Les indicateurs montrent un faible taux de révision du contenu et une utilisation irrégulière des ressources. L’effort est souvent concentré avant les échéances, ce qui limite l’appropriation progressive du vocabulaire."
12,individual,1540.0,Analyse des causes d’une stagnation,causal_analysis,Pourquoi l’étudiant 1540 stagne-t-il dans « Articuler les termes entre eux » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Articuler les termes entre eux' AND ar.user_id = 1540;,"La stagnation est liée à des tentatives répétées sans ajustement de stratégie. Malgré une activité régulière, l’étudiant présente un taux d’erreur constant et peu de corrections après feedback. Ce comportement traduit un profil actif mais inefficace, avec une faible exploitation des ressources pédagogiques."
13,group,,Analyse des causes d’une progression lente,causal_analysis,Pourquoi certains apprenants progressent-ils lentement en « Comprendre les mots » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Comprendre les mots';,"La progression lente est liée à des difficultés de compréhension initiales non compensées par un entraînement suffisant. Les indicateurs montrent un temps de réponse excessif et une faible fréquence de consultation des ressources explicatives, traduisant une hésitation persistante face aux contenus."
14,global,,Analyse des causes d’une dispersion des scores,causal_analysis,Pourquoi observe-t-on une forte dispersion des scores en « Déterminer les points de vue adoptés » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Déterminer les points de vue adoptés';,"La dispersion s’explique par des profils d’engagement hétérogènes. Les apprenants persévérants, avec une forte interaction avec les ressources, atteignent des scores élevés, tandis que ceux ayant une participation irrégulière et peu de révisions restent en difficulté."
15,individual,1602.0,Analyse des causes d’un décrochage,causal_analysis,Pourquoi l’étudiant 1602 décroche-t-il après plusieurs échecs en « Organiser ses textes » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Organiser ses textes' AND ar.user_id = 1602;,"Le décrochage est associé à une accumulation d’échecs consécutifs et à une baisse progressive de l’engagement. Les indicateurs révèlent une diminution du temps passé sur la plateforme et un abandon des activités après des résultats négatifs, traduisant un manque de persévérance."
16,group,,Analyse des causes d’inefficacité,causal_analysis,Pourquoi un groupe d’apprenants est-il actif mais peu performant en « Construire ses phrases » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Construire ses phrases';,"Ce groupe présente un fort volume d’activités mais une efficacité limitée. Les indicateurs montrent un grand nombre de tentatives avec peu de révisions et une absence d’amélioration des scores, caractérisant un profil actif mais inefficace."
17,global,,Analyse des causes d’un retard d’apprentissage,causal_analysis,Pourquoi observe-t-on un retard d’apprentissage en « Utiliser des reprises » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Utiliser des reprises';,"Le retard est lié à une faible régularité du travail et à un démarrage tardif des activités. Les indicateurs montrent une concentration de l’effort avant les échéances, ce qui limite l’ancrage progressif des mécanismes de reprise."
18,individual,1688.0,Analyse des causes d’un faible engagement,causal_analysis,Pourquoi l’étudiant 1688 est-il peu engagé dans « Maîtriser l’orthographe des mots » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser l’orthographe des mots' AND ar.user_id = 1688;,"Le faible engagement est visible à travers une fréquence de connexion réduite et un temps total faible sur la plateforme. L’étudiant consulte peu les ressources et abandonne rapidement après les premières difficultés, limitant la progression."
19,group,,Analyse des causes d’échec récurrent,causal_analysis,Pourquoi certains apprenants échouent-ils de manière récurrente en « Maîtriser l’orthographe grammaticale » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser l’orthographe grammaticale';,"L’échec récurrent est lié à des lacunes persistantes et à un entraînement insuffisant. Les indicateurs montrent un nombre élevé d’erreurs par tentative et peu de corrections effectives après feedback, ce qui empêche la consolidation des règles grammaticales."
20,global,,Analyse des causes d’une performance inégale,causal_analysis,Pourquoi la performance est-elle inégale en « Maîtriser les modalités et les types de phrases » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser les modalités et les types de phrases';,"La performance inégale reflète des différences marquées de stratégies d’apprentissage. Les apprenants bien entraînés et réguliers progressent rapidement, tandis que ceux qui ignorent partiellement les ressources pédagogiques restent en difficulté."
41,individual,1752.0,Analyse des causes d’un retard dans les compétences,causal_analysis,Pourquoi l’étudiant 1752 a-t-il un retard en « Articuler les termes entre eux » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Articuler les termes entre eux' AND ar.user_id = 1752;,"Le retard est principalement dû à une faible participation aux discussions et une faible révision des contenus. Le suivi des activités est irrégulier, et les erreurs fréquentes sont souvent ignorées, entraînant une stagnation."
42,group,,Analyse des causes d’une faible participation,causal_analysis,Pourquoi la participation en groupe est-elle faible en « Construire ses phrases » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Construire ses phrases';,La faible participation est liée à une mauvaise gestion du temps et à un démarrage lent des activités. Les apprenants ont tendance à négliger les exercices pratiques en début de session et se concentrent uniquement sur les évaluations finales.
43,global,,Analyse des causes d’une baisse de performance générale,causal_analysis,Pourquoi observe-t-on une baisse de performance générale en « Maîtriser l’orthographe des mots » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser l’orthographe des mots';,"La baisse de performance est généralement liée à un manque de révisions et à une utilisation irrégulière des ressources. L’étudiant s’efforce de maîtriser la compétence, mais sa persévérance diminue après des échecs répétés dans les tests."
44,individual,1824.0,Analyse des causes d’une désengagement,causal_analysis,Pourquoi l’étudiant 1824 semble désengagé en « Déterminer les points de vue adoptés » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Déterminer les points de vue adoptés' AND ar.user_id = 1824;,Le désengagement de l’étudiant est causé par des difficultés de concentration et un retard dans les activités. Les indicateurs montrent qu’il manque souvent de temps pour compléter les tâches et qu’il ne revient pas régulièrement aux modules précédents pour revoir ses erreurs.
45,group,,Analyse des causes d’une échec récurrent,causal_analysis,Pourquoi l’échec est-il récurrent pour certains étudiants en « Maîtriser les modalités et les types de phrases » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser les modalités et les types de phrases';,L’échec récurrent est dû à des lacunes dans la compréhension des concepts de base et une préparation insuffisante aux évaluations. Les étudiants ne parviennent pas à réviser efficacement et leurs résultats montrent un écart constant entre les sessions.
46,individual,1941.0,Analyse des causes de progression lente,causal_analysis,Pourquoi l’étudiant 1941 progresse-t-il lentement en « Enchaîner les phrases » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Enchaîner les phrases' AND ar.user_id = 1941;,"La progression lente est principalement causée par un manque de révision et une utilisation suboptimale des ressources. L’étudiant répond aux questions sans analyser les erreurs passées, ce qui ralentit son apprentissage."
47,global,,Analyse des causes d’un faible taux de participation aux activités,causal_analysis,Pourquoi le taux de participation est-il faible dans « Utiliser des reprises » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Utiliser des reprises';,"Le faible taux de participation est lié à une planification inefficace des activités. Les étudiants manquent souvent d’initiative et attendent la dernière minute pour participer, ce qui mène à une maîtrise partielle des compétences."
48,individual,2045.0,Analyse des causes d’un décrochage après des échecs consécutifs,causal_analysis,Pourquoi l’étudiant 2045 a-t-il décroché après des échecs répétés en « Maîtriser les marques de la conjugaison » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser les marques de la conjugaison' AND ar.user_id = 2045;,"Le décrochage est dû à une frustration accumulée après plusieurs tentatives infructueuses. L’étudiant manque de soutien supplémentaire et préfère ne pas tenter à nouveau, ce qui empêche toute progression."
49,global,,Analyse des causes de dispersion des scores,causal_analysis,Pourquoi les scores sont-ils aussi dispersés en « Développer un vocabulaire étendu » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Développer un vocabulaire étendu';,"La dispersion des scores est causée par des comportements d’engagement variables. Certains étudiants sont très impliqués et révisent fréquemment, tandis que d’autres n’investissent pas assez de temps et ne parviennent pas à maîtriser le vocabulaire efficacement."
50,group,,Analyse des causes de mauvaises performances globales,causal_analysis,Pourquoi observe-t-on de mauvaises performances globales dans « Articuler les termes entre eux » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Articuler les termes entre eux';,Les mauvaises performances sont dues à une compréhension insuffisante des relations sémantiques entre les termes. Un manque de révisions et des erreurs non corrigées ont conduit à une maîtrise incomplète du concept.
71,individual,1252.0,Analyse des causes d’un faible score,causal_analysis,Pourquoi l’étudiant 1252 a-t-il un faible score en « Organiser ses textes » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Organiser ses textes' AND ar.user_id = 1252;,"Le faible score s’explique par une organisation de l’effort insuffisante. Les indicateurs montrent un effort concentré juste avant les échéances (TAR élevé), une faible régularité du travail et un taux d’échec compétence (TEC) supérieur à 35 %. L’étudiant adopte un profil actif mais inefficace : forte activité, mais peu de consolidation des connaissances."
72,group,,Analyse des causes d’échecs répétés,causal_analysis,Pourquoi observe-t-on des échecs répétés en « Utiliser des reprises » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Utiliser des reprises';,"Les échecs répétés sont liés à un faible usage des ressources pédagogiques (FCR bas) et à un manque d’entraînement écrit. Le nombre d’échecs consécutifs par compétence (NECC) est élevé, indiquant des tentatives répétées sans amélioration significative."
73,global,,Analyse des causes d’une stagnation des scores,causal_analysis,Pourquoi les scores stagnent-ils en « Construire ses phrases » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Construire ses phrases';,"La stagnation est due à une faible révision de contenu et à une absence de progression dans les indicateurs de processus. Le taux de progression des scores (TPS) est inférieur à 5 %, malgré une présence en ligne correcte, traduisant un engagement passif mais stratégique."
74,individual,1389.0,Analyse des causes d’un décrochage,causal_analysis,Pourquoi l’étudiant 1389 a-t-il décroché après un échec en « Enchaîner les phrases » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Enchaîner les phrases' AND ar.user_id = 1389;,"Le décrochage s’explique par un manque de persévérance après un échec initial. Les indicateurs montrent une augmentation de la durée moyenne d’absence de progrès (DMAP) et une chute du taux de participation (TPA), indiquant un abandon progressif."
75,group,,Analyse des causes d’erreurs fréquentes,causal_analysis,Pourquoi les erreurs sont-elles fréquentes en « Articuler les termes entre eux » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Articuler les termes entre eux';,"Les erreurs fréquentes sont liées à une compréhension partielle des relations syntaxiques. Le taux d’erreur est élevé et le nombre de tentatives par activité augmente sans amélioration, révélant un entraînement insuffisant."
76,individual,1467.0,Analyse des causes d’une progression irrégulière,causal_analysis,Pourquoi la progression de l’étudiant 1467 est-elle irrégulière en « Choisir ses mots et ses expressions » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Choisir ses mots et ses expressions' AND ar.user_id = 1467;,"La progression irrégulière est due à des rythmes d’apprentissage instables (FRI élevé). L’étudiant alterne périodes d’activité intense et phases d’inactivité, ce qui nuit à la consolidation des acquis."
77,global,,Analyse des causes d’une baisse récente,causal_analysis,Pourquoi observe-t-on une baisse récente en « Maîtriser l’orthographe grammaticale » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser l’orthographe grammaticale';,La baisse récente est liée à une diminution de l’engagement dans les activités de révision. Les indicateurs montrent une baisse du temps total passé sur la plateforme (TTP) et une réduction des activités de réécriture.
78,group,,Analyse des causes d’un faible niveau global,causal_analysis,Pourquoi le niveau global est-il faible en « Organiser ses textes » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Organiser ses textes';,"Le faible niveau global est dû à une mauvaise planification des tâches et à un manque de structuration du travail. Le niveau d’organisation qualitatif (NOQ) est faible, indiquant des difficultés persistantes."
79,individual,1593.0,Analyse des causes d’une amélioration limitée,causal_analysis,Pourquoi l’amélioration de l’étudiant 1593 reste-t-elle limitée en « Comprendre les mots » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Comprendre les mots' AND ar.user_id = 1593;,"L’amélioration limitée est liée à une utilisation partielle des ressources pédagogiques. L’étudiant consulte les contenus mais ne réalise pas suffisamment d’exercices pratiques, ce qui freine la progression."
80,global,,Analyse des causes d’une forte hétérogénéité,causal_analysis,Pourquoi observe-t-on une forte hétérogénéité des scores en « Déterminer les points de vue adoptés » ?,SELECT AVG(ar.Level) FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Déterminer les points de vue adoptés';,"L’hétérogénéité des scores s’explique par des profils d’apprentissage contrastés. Certains apprenants sont persévérants et bien entraînés, tandis que d’autres présentent un engagement faible et une compréhension partielle des concepts."
81,global,,Analyse des causes,causal_analysis,Pourquoi observe-t-on un faible niveau global en « Choisir ses mots et ses expressions » ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Choisir ses mots et ses expressions';","Le score moyen de compétences validées est de 5/14, avec 5 validées, 7 non validées et 2 abandons. Les apprenants sont actifs mais inefficaces et montrent des difficultés de compréhension, traduisant des lacunes persistantes malgré une présence en ligne régulière."
82,global,,Analyse des causes,causal_analysis,Pourquoi la compétence « Comprendre les mots » reste-t-elle faible à l’échelle globale ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Comprendre les mots';","Le score moyen de compétences validées est de 6/14, avec 6 validées, 6 non validées et 2 abandons. Les apprenants sont persévérants mais montrent une forte activité sans amélioration. L’effort concentré avant les échéances n’a pas permis de combler les lacunes persistantes."
83,global,,Analyse des causes,causal_analysis,Pourquoi observe-t-on une lente progression en « Développer un vocabulaire étendu » ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Développer un vocabulaire étendu';","Le score moyen de compétences validées est de 4/14, avec 4 validées, 8 non validées et 2 abandons. Les apprenants sont passifs mais stratégiques, et malgré une présence en ligne régulière, ils montrent des difficultés de compréhension et des lacunes persistantes."
84,global,,Analyse des causes,causal_analysis,Pourquoi le niveau global en « Maîtriser l’orthographe des mots » reste-t-il limité ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser l’orthographe des mots';","Le score moyen de compétences validées est de 7/14, avec 7 validées, 5 non validées et 2 abandons. Les apprenants sont persévérants, mais certaines lacunes persistent malgré un travail régulier et une forte activité sans amélioration."
85,global,,Analyse des causes,causal_analysis,Pourquoi la compétence « Articuler les termes entre eux » est-elle peu maîtrisée globalement ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Articuler les termes entre eux';","Le score moyen de compétences validées est de 6/14, avec 6 validées, 6 non validées et 2 abandons. Les apprenants sont actifs mais inefficaces, montrant des difficultés de compréhension et un effort concentré avant les échéances sans réelle consolidation des acquis."
86,global,,Analyse des causes,causal_analysis,Pourquoi observe-t-on un faible niveau en « Construire ses phrases » à l’échelle globale ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Construire ses phrases';","Le score moyen de compétences validées est de 5/14, avec 5 validées, 7 non validées et 2 abandons. Les apprenants sont passifs mais stratégiques, et malgré une forte activité, ils n’améliorent pas leur maîtrise, révélant des lacunes persistantes."
87,global,,Analyse des causes,causal_analysis,Pourquoi la compétence « Maîtriser l’orthographe grammaticale » reste-t-elle faible globalement ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser l’orthographe grammaticale';","Le score moyen de compétences validées est de 6/14, avec 6 validées, 6 non validées et 2 abandons. Les apprenants sont persévérants mais montrent des difficultés de compréhension et un travail irrégulier, entraînant des lacunes persistantes."
88,global,,Analyse des causes,causal_analysis,Pourquoi la compétence « Maîtriser les modalités et les types de phrases » progresse-t-elle lentement ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser les modalités et les types de phrases';","Le score moyen de compétences validées est de 5/14, avec 5 validées, 7 non validées et 2 abandons. Les apprenants sont actifs mais inefficaces et montrent un effort concentré avant les échéances sans amélioration durable."
89,global,,Analyse des causes,causal_analysis,Pourquoi la compétence « Enchaîner les phrases » reste-t-elle faible ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Enchaîner les phrases';","Le score moyen de compétences validées est de 4/14, avec 4 validées, 8 non validées et 2 abandons. Les apprenants sont passifs mais stratégiques et montrent des difficultés de compréhension, malgré un travail régulier."
90,global,,Analyse des causes,causal_analysis,Pourquoi observe-t-on une faible maîtrise globale en « Organiser ses textes » ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Organiser ses textes';","Le score moyen de compétences validées est de 5/14, avec 5 validées, 7 non validées et 2 abandons. Les apprenants sont persévérants mais inefficaces, et la forte activité sans amélioration traduit des lacunes persistantes."
91,global,,Analyse des causes,causal_analysis,Pourquoi la compétence « Utiliser des reprises » progresse-t-elle lentement ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Utiliser des reprises';","Le score moyen de compétences validées est de 6/14, avec 6 validées, 6 non validées et 2 abandons. Les apprenants sont passifs mais stratégiques, montrant des lacunes persistantes malgré un effort concentré avant les échéances."
92,global,,Analyse des causes,causal_analysis,Pourquoi la maîtrise des « Marques de la conjugaison » reste limitée globalement ?,"SELECT AVG(ar.validated) AS avg_validated_competences, SUM(ar.validated) AS valid_count, SUM(ar.not_validated) AS not_valid_count, SUM(ar.abandoned) AS abandoned_count FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser les marques de la conjugaison';","Le score moyen de compétences validées est de 5/14, avec 5 validées, 7 non validées et 2 abandons. Les apprenants sont actifs mais inefficaces, et malgré un travail régulier, les lacunes persistent."
